city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,blockOfFlats,63.0,3.0,4.0,10.0,1980.0,53.3789332,14.6252957,6.53,9.0,0.118,1.389,0.628,0.105,1.652,,0.413,condominium,yes,yes,yes,no,yes,415000
szczecin,blockOfFlats,36.0,2.0,8.0,10.0,,53.4426918989896,14.5596899116512,2.15,16.0,0.273,0.492,0.652,0.291,0.348,1.404,0.205,cooperative,no,yes,yes,no,yes,395995
szczecin,tenement,73.02,3.0,2.0,3.0,,53.45222222,14.55333333,3.24,9.0,0.275,0.672,0.367,0.246,0.3,1.857,0.28,condominium,no,no,no,no,no,565000
szczecin,tenement,87.6,3.0,2.0,3.0,,53.4351,14.5329,2.27,32.0,0.175,0.259,0.223,0.359,0.101,0.31,0.087,condominium,yes,yes,no,no,yes,640000
szczecin,blockOfFlats,66.0,3.0,1.0,3.0,,53.41027778,14.50361111,4.07,1.0,0.218,1.69,0.504,0.704,0.501,2.138,0.514,condominium,no,no,no,no,no,759000
szczecin,blockOfFlats,63.3,3.0,2.0,4.0,1997.0,53.4631,14.5728,4.48,10.0,0.079,1.224,0.737,0.26,1.102,0.377,0.745,cooperative,yes,yes,no,no,yes,499000
szczecin,blockOfFlats,47.45,2.0,2.0,10.0,1974.0,53.4502325,14.5626247,2.99,18.0,0.327,0.378,0.234,0.262,0.244,1.736,0.277,condominium,no,no,yes,no,yes,370000
szczecin,apartmentBuilding,60.08,2.0,3.0,4.0,2009.0,53.45468473,14.55152035,3.53,8.0,0.572,0.784,0.305,0.435,0.257,1.945,0.155,condominium,no,yes,yes,no,no,629000
szczecin,blockOfFlats,47.76,2.0,8.0,12.0,1980.0,53.45886904,14.53640342,4.27,6.0,0.345,0.52,0.336,0.5,0.265,1.879,0.42,condominium,no,yes,yes,no,yes,399000
szczecin,tenement,72.09,4.0,2.0,3.0,1890.0,53.4350923,14.5596122,1.3,22.0,0.232,0.292,0.356,0.301,0.199,0.653,0.199,condominium,yes,no,no,no,yes,325000
szczecin,tenement,78.71,4.0,4.0,4.0,1930.0,53.44762826,14.55302238,2.75,13.0,0.321,0.734,0.648,0.386,0.053,1.466,0.208,condominium,no,no,Other,no,no,549000
szczecin,blockOfFlats,63.9,3.0,,4.0,2000.0,53.365833,14.661389,9.24,9.0,0.449,1.328,0.216,0.195,0.228,,0.236,cooperative,no,yes,no,no,yes,545000
szczecin,tenement,93.82,3.0,3.0,3.0,1905.0,53.4281155,14.5325734,1.95,22.0,0.245,0.637,0.158,0.525,0.128,0.737,,condominium,no,yes,no,no,yes,599000
szczecin,tenement,95.78,4.0,,4.0,1945.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,no,no,yes,649000
szczecin,tenement,26.79,2.0,5.0,5.0,1930.0,53.41966535,14.54780007,0.97,15.0,0.249,0.252,0.325,0.507,0.305,1.073,0.288,condominium,no,no,yes,no,no,280000
szczecin,tenement,125.72,5.0,2.0,4.0,1936.0,53.4252053,14.5421308,1.26,39.0,0.238,0.425,0.183,0.363,0.101,0.476,0.204,condominium,no,no,no,no,yes,750000
szczecin,blockOfFlats,33.86,2.0,6.0,10.0,1970.0,53.4612452,14.5778593,4.35,11.0,0.046,1.113,0.752,0.274,0.733,0.165,0.363,cooperative,no,yes,yes,no,no,319000
szczecin,blockOfFlats,44.96,2.0,7.0,10.0,,53.4368,14.5529,1.58,35.0,0.188,0.236,0.19,0.17,0.102,0.773,0.223,cooperative,yes,yes,yes,no,yes,370000
szczecin,blockOfFlats,50.31,3.0,2.0,3.0,1970.0,53.4491873,14.5015442,4.87,11.0,0.222,0.827,0.115,0.589,0.298,2.081,0.132,condominium,no,no,no,no,yes,410000
szczecin,Other,68.2,3.0,1.0,1.0,,53.477,14.526,6.39,0.0,1.486,2.53,1.28,0.719,1.339,3.819,1.239,condominium,no,no,no,no,no,605000
szczecin,blockOfFlats,47.1,2.0,3.0,11.0,1981.0,53.450879,14.5573317,3.07,9.0,0.13,0.494,0.472,0.111,0.431,1.918,0.249,cooperative,no,yes,yes,no,yes,420000
szczecin,blockOfFlats,52.68,2.0,4.0,4.0,1999.0,53.418611,14.549722,0.92,11.0,0.371,0.319,0.225,0.63,0.323,1.208,0.359,condominium,no,no,Other,no,no,470000
szczecin,blockOfFlats,48.97,2.0,11.0,11.0,1987.0,53.4057401,14.5000459,4.49,5.0,0.65,1.983,0.069,1.143,0.31,2.614,0.044,condominium,yes,yes,yes,no,yes,380000
szczecin,tenement,33.32,2.0,4.0,4.0,1920.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,Other,no,no,329000
szczecin,blockOfFlats,46.6,2.0,9.0,11.0,1970.0,53.45044251,14.57216263,3.1,6.0,0.337,0.679,0.507,0.368,0.39,1.423,0.253,cooperative,no,yes,yes,no,yes,399000
szczecin,blockOfFlats,69.86,3.0,4.0,4.0,2016.0,53.418611,14.549722,0.92,11.0,0.371,0.319,0.225,0.63,0.323,1.208,0.359,condominium,yes,yes,yes,no,no,835000
szczecin,Other,45.8,2.0,3.0,4.0,,53.4333,14.5477,1.41,70.0,0.133,0.241,0.062,0.322,0.113,0.515,0.146,condominium,no,no,Other,no,no,542500
szczecin,blockOfFlats,56.52,3.0,5.0,10.0,1975.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,no,yes,yes,no,yes,480000
szczecin,apartmentBuilding,85.0,4.0,7.0,7.0,2022.0,53.4227,14.5574,0.25,58.0,0.25,0.502,0.219,0.229,0.071,0.791,0.387,condominium,yes,yes,yes,no,yes,950000
szczecin,blockOfFlats,58.63,3.0,3.0,4.0,2020.0,53.39279829,14.48431492,6.11,0.0,1.861,3.461,0.824,1.795,0.754,4.343,0.802,condominium,yes,yes,yes,no,no,615615
szczecin,blockOfFlats,44.6,2.0,,3.0,2016.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,no,no,no,no,no,475000
szczecin,tenement,89.57,4.0,1.0,4.0,1930.0,53.43241105,14.5387773,1.78,68.0,0.075,0.458,0.284,0.245,0.057,0.294,0.142,condominium,no,no,Other,no,no,810000
szczecin,Other,58.89,3.0,2.0,4.0,,53.458889,14.531111,4.41,7.0,0.349,0.49,0.409,0.439,0.411,1.844,0.481,cooperative,no,yes,no,no,no,450000
szczecin,tenement,75.39,4.0,2.0,3.0,1930.0,53.4231443,14.5383887,1.5,21.0,0.062,0.5,0.097,0.606,0.051,0.581,0.111,condominium,no,yes,no,no,yes,459000
szczecin,blockOfFlats,32.0,1.0,8.0,8.0,1974.0,53.4325819,14.5049448,3.85,9.0,0.126,1.08,0.31,0.409,0.458,1.808,0.367,cooperative,no,no,yes,no,yes,260000
szczecin,Other,58.6,2.0,,4.0,,53.4527742,14.4779792,6.39,4.0,0.24,2.2,0.962,0.765,0.286,3.684,0.239,cooperative,no,no,no,no,no,479000
szczecin,blockOfFlats,60.2,4.0,4.0,4.0,1970.0,53.446985,14.5606519,2.62,9.0,0.219,0.756,0.609,0.208,0.509,1.738,0.309,cooperative,no,no,no,no,yes,479000
szczecin,Other,123.0,4.0,4.0,5.0,1992.0,53.4265537,14.5529795,0.64,62.0,0.28,0.298,0.155,0.126,0.074,0.654,0.111,cooperative,no,yes,yes,no,no,799000
szczecin,blockOfFlats,92.32,3.0,,2.0,1920.0,53.439754,14.5203002,3.25,1.0,0.612,0.906,0.607,0.731,0.595,0.741,0.446,condominium,yes,no,no,no,yes,489000
szczecin,blockOfFlats,55.68,2.0,1.0,4.0,2015.0,53.4303408,14.4837592,5.17,1.0,0.991,0.921,0.503,0.823,0.954,3.226,0.149,condominium,yes,yes,yes,no,no,580000
szczecin,tenement,129.3,5.0,3.0,4.0,1930.0,53.4312995,14.5648979,0.92,16.0,0.277,0.774,0.029,0.059,0.173,0.305,0.658,condominium,no,no,yes,no,yes,899000
szczecin,tenement,78.6,3.0,2.0,4.0,1929.0,53.4328328,14.5481871,1.35,75.0,0.149,0.239,0.074,0.342,0.093,0.492,0.089,condominium,no,no,no,no,yes,440000
szczecin,blockOfFlats,61.7,3.0,10.0,12.0,1975.0,53.456615,14.491954,5.88,11.0,0.471,1.851,0.295,0.198,0.761,3.023,0.294,cooperative,no,no,yes,no,no,499000
szczecin,tenement,73.34,3.0,1.0,3.0,1950.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,condominium,yes,no,no,no,no,600000
szczecin,blockOfFlats,79.82,3.0,2.0,4.0,2010.0,53.4335341,14.4830325,5.29,1.0,1.303,1.238,0.861,0.716,0.901,3.203,0.436,condominium,yes,no,yes,no,no,820000
szczecin,tenement,94.0,5.0,3.0,4.0,1950.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,condominium,no,no,Other,no,no,560000
szczecin,blockOfFlats,79.59,3.0,1.0,3.0,2017.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,no,yes,no,no,no,860000
szczecin,tenement,30.0,1.0,3.0,3.0,1970.0,53.42632,14.53144,1.98,20.0,0.21,0.429,0.107,0.697,0.087,0.721,0.048,condominium,no,no,no,no,yes,275000
szczecin,Other,47.33,2.0,3.0,3.0,1920.0,53.42632308,14.54944427,0.83,56.0,0.362,0.082,0.082,0.272,0.018,0.522,0.011,condominium,yes,yes,no,no,yes,345000
szczecin,tenement,52.0,2.0,,2.0,1930.0,53.4438433,14.5055732,4.32,9.0,0.467,0.179,0.226,0.28,0.274,1.677,0.249,condominium,no,no,no,no,yes,499000
szczecin,blockOfFlats,72.93,3.0,4.0,4.0,1990.0,53.4392512,14.4953696,4.69,7.0,0.298,0.788,0.432,0.136,0.428,2.36,0.432,cooperative,no,yes,no,no,yes,555000
szczecin,blockOfFlats,38.66,2.0,,3.0,1990.0,53.3663796,14.598364,6.81,7.0,0.215,2.864,0.421,0.307,0.178,,0.096,condominium,yes,no,no,no,no,275000
szczecin,tenement,44.74,3.0,2.0,3.0,1935.0,53.4332455,14.5106162,3.51,16.0,0.101,1.046,0.297,0.215,0.321,1.429,0.135,condominium,no,no,no,no,yes,332000
szczecin,Other,80.0,3.0,,1.0,1936.0,53.4407898,14.50453868,4.21,8.0,0.338,0.195,0.148,0.598,0.274,1.745,0.227,condominium,yes,no,no,no,yes,680000
szczecin,tenement,72.55,4.0,3.0,4.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,Other,no,no,529000
szczecin,tenement,52.85,3.0,2.0,3.0,1930.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,condominium,no,no,no,no,no,369000
